Title,Prices,Item_url,Image_url,Category
Copper Coloered Owl Bracelet,$4.20 ,https://www.ebay.com/itm/154534768849?hash=item23fafd70d1:g:orMAAOSwxqBg82N0,https://i.ebayimg.com/thumbs/images/g/orMAAOSwxqBg82N0/s-l225.jpg,Bracelet
Womens Sterling Silver Cuff Design Open Bangle Fashion Bracelet !!,$10.00 ,https://www.ebay.com/itm/154535960222?hash=item23fb0f9e9e:g:1pAAAOSwZApg9Lob,https://i.ebayimg.com/thumbs/images/g/1pAAAOSwZApg9Lob/s-l225.jpg,Bracelet
"Heart bracelet 14 carat rose gold. 7"". Half of each heart is hollow.",$30.00 ,https://www.ebay.com/itm/133822778974?hash=item1f28758e5e:g:oSEAAOSwTNZg9J1B,https://i.ebayimg.com/thumbs/images/g/oSEAAOSwTNZg9J1B/s-l225.jpg,Bracelet
Thomas Sabo beaded bracelet,$34.03 ,https://www.ebay.com/itm/133821497831?hash=item1f286201e7:g:W0cAAOSwe11geXxW,https://i.ebayimg.com/thumbs/images/g/W0cAAOSwe11geXxW/s-l225.jpg,Bracelet
New ListingSIGNED KIRKS FOLLY 7” GOLD CRYSTAL RHINESTONE SNOWFLAKE CHARM BRACELET RARE LOOK,$36.00 ,https://www.ebay.com/itm/393455363266?hash=item5b9bc464c2:g:vLUAAOSwrFBg97nW,https://i.ebayimg.com/thumbs/images/g/vLUAAOSwrFBg97nW/s-l225.jpg,Bracelet
Blue Iolite Faceted Quartz Green Shell 925 STERLING SILVER PLATED BRACELET,$25.85 ,https://www.ebay.com/itm/144120261270?hash=item218e3caa96:g:BNYAAOSw2O9g9sHd,https://i.ebayimg.com/thumbs/images/g/BNYAAOSw2O9g9sHd/s-l225.jpg,Bracelet
New ListingAnn Taylor LOFT Women's California Sunset Gold Tone Cuff Bracelet,$8.00 ,https://www.ebay.com/itm/133825461956?hash=item1f289e7ec4:g:eLEAAOSwMYpg2p7~,https://i.ebayimg.com/thumbs/images/g/eLEAAOSwMYpg2p7~/s-l225.jpg,Bracelet
Ruby Zoisite bracelet,$6.00 ,https://www.ebay.com/itm/114898380848?hash=item1ac07a2830:g:08kAAOSwrGhg9e96,https://i.ebayimg.com/thumbs/images/g/08kAAOSwrGhg9e96/s-l225.jpg,Bracelet
New Listingcato bracelet,$5.00 ,https://www.ebay.com/itm/124819820247?hash=item1d0fd74ed7:g:TecAAOSwKBFg-Fdl,https://i.ebayimg.com/thumbs/images/g/TecAAOSwKBFg-Fdl/s-l225.jpg,Bracelet
New ListingPaparazzi Jewelry Stretchy Bracelet Lot Of 3,$10.00 ,https://www.ebay.com/itm/133824632753?hash=item1f2891d7b1:g:BGAAAOSw9LRg9ynx,https://i.ebayimg.com/thumbs/images/g/BGAAAOSw9LRg9ynx/s-l225.jpg,Bracelet
bracelet,$39.99 ,https://www.ebay.com/itm/324721426980?hash=item4b9ae7c224:g:e7wAAOSwxEBg6bQu,https://i.ebayimg.com/thumbs/images/g/e7wAAOSwxEBg6bQu/s-l225.jpg,Bracelet
"92.5 Silver Plated 2Mm Byzantine Chain Bracelet Jewelry 7-9"" S1929",$0.01 ,https://www.ebay.com/itm/234089427131?hash=item3680d130bb:g:51oAAOSwc49g7zAm,https://i.ebayimg.com/thumbs/images/g/51oAAOSwc49g7zAm/s-l225.jpg,Bracelet
New ListingCarnelian Ethnic Handmade Bracelet Jewelry 21 Gms AB 1636,$2.99 ,https://www.ebay.com/itm/403007737636?hash=item5dd5220f24:g:qk8AAOSwfOBg93Jv,https://i.ebayimg.com/thumbs/images/g/qk8AAOSwfOBg93Jv/s-l225.jpg,Bracelet
New ListingLarimar Rainbow Moonstone Ethnic Handmade Bracelet Jewelry 26 Gms AB 1692,$6.07 ,https://www.ebay.com/itm/384287131705?hash=item59794c4839:g:2QQAAOSwAA5g93vN,https://i.ebayimg.com/thumbs/images/g/2QQAAOSwAA5g93vN/s-l225.jpg,Bracelet
New ListingBetsey Johnson Fashion Jewelry Pretty Charming Crystal Bangle Bracelet,$0.99 ,https://www.ebay.com/itm/124818909345?hash=item1d0fc968a1:g:cAkAAOSwH3lgz~15,https://i.ebayimg.com/thumbs/images/g/cAkAAOSwH3lgz~15/s-l225.jpg,Bracelet
guess bracelet silver,$3.13 ,https://www.ebay.com/itm/294284459500?hash=item4484b87dec:g:3wYAAOSw5SVg9cAQ,https://i.ebayimg.com/thumbs/images/g/3wYAAOSw5SVg9cAQ/s-l225.jpg,Bracelet
New ListingTURKISH RUBY .925 SILVER & BRONZE BANGLE BRACELET #35499,$17.00 ,https://www.ebay.com/itm/124818750140?hash=item1d0fc6fabc:g:lJQAAOSweG1gtJIa,https://i.ebayimg.com/thumbs/images/g/lJQAAOSweG1gtJIa/s-l225.jpg,Bracelet
"New Listing100% Natural Beryl Emerald Gemstone Rondelle Faceted Beads 7"" Jewelry Bracelet",$6.79 ,https://www.ebay.com/itm/133825565566?hash=item1f28a0137e:g:N~4AAOSwDjdgxLcH,https://i.ebayimg.com/thumbs/images/g/N~4AAOSwDjdgxLcH/s-l225.jpg,Bracelet
New ListingHandmade Crystal Gemstone 3-4mm Rondelle Faceted Beaded Beauty Jewelry Bracelet,$6.79 ,https://www.ebay.com/itm/133825565278?hash=item1f28a0125e:g:DEwAAOSwyXVgxLhY,https://i.ebayimg.com/thumbs/images/g/DEwAAOSwyXVgxLhY/s-l225.jpg,Bracelet
Swarovski Bracelet- Love - T Bar Fastening,$21.76 ,https://www.ebay.com/itm/324721323030?hash=item4b9ae62c16:g:6ZQAAOSweVJg9tEE,https://i.ebayimg.com/thumbs/images/g/6ZQAAOSweVJg9tEE/s-l225.jpg,Bracelet
Black Tiger Fossil 925 Silver Plated Handmade bangle/Bracelet Free Size Ethnic,$2.99 ,https://www.ebay.com/itm/393445393959?hash=item5b9b2c4627:g:MGsAAOSwMHpg8TEY,https://i.ebayimg.com/thumbs/images/g/MGsAAOSwMHpg8TEY/s-l225.jpg,Bracelet
Labradorite Ethnic Gemstone Handmade Gift Cuff Bracelet Adjustable G718,$3.99 ,https://www.ebay.com/itm/184952812140?hash=item2b100bf26c:g:~R4AAOSwgHxg9ZuN,https://i.ebayimg.com/thumbs/images/g/~R4AAOSwgHxg9ZuN/s-l225.jpg,Bracelet
New Listingswarovski Crystal Bracelet,$17.69 ,https://www.ebay.com/itm/124819762652?hash=item1d0fd66ddc:g:13gAAOSw3iZg-EZn,https://i.ebayimg.com/thumbs/images/g/13gAAOSw3iZg-EZn/s-l225.jpg,Bracelet
New ListingRainbow Moonstone Ethnic Handmade Bracelet Jewelry 21 Gms AB 97627,$3.99 ,https://www.ebay.com/itm/164971584276?hash=item2669129b14:g:k9UAAOSw5Rtg6ey2,https://i.ebayimg.com/thumbs/images/g/k9UAAOSw5Rtg6ey2/s-l225.jpg,Bracelet
"New ListingNew Arrival 100% Natural Rainbow Moonstone+Labradorite Gemstone Nice Bracelet 7""",$6.79 ,https://www.ebay.com/itm/133825565526?hash=item1f28a01356:g:qrMAAOSw3wFgxLe5,https://i.ebayimg.com/thumbs/images/g/qrMAAOSw3wFgxLe5/s-l225.jpg,Bracelet
henri bendel bracelet/ Lock Charm/ Leather/silver,$20.00 ,https://www.ebay.com/itm/154535012192?hash=item23fb012760:g:LZQAAOSwUmhg8641,https://i.ebayimg.com/thumbs/images/g/LZQAAOSwUmhg8641/s-l225.jpg,Bracelet
"Turtilla Fossil Honey Topaz Gemstone Handmade Gift Jewelry Bracelet 7-8"" Y108",$2.99 ,https://www.ebay.com/itm/184954987178?hash=item2b102d22aa:g:F8gAAOSwW4Rg9u4t,https://i.ebayimg.com/thumbs/images/g/F8gAAOSwW4Rg9u4t/s-l225.jpg,Bracelet
New Listing9-10mm Night Luminous Green Fluorite Gemstone Round Beads Elastic Bracelet 7.5'',$4.50 ,https://www.ebay.com/itm/363475672723?hash=item54a0d69e93:g:JzsAAOSw0vBf4pD-,https://i.ebayimg.com/thumbs/images/g/JzsAAOSw0vBf4pD-/s-l225.jpg,Bracelet
"Agate Geode Slice Blue Topaz Gemstone Handmade Ethnic Gift Bracelet 7-8"" k302",$3.99 ,https://www.ebay.com/itm/184953357326?hash=item2b1014440e:g:0VoAAOSwYuhg9d~9,https://i.ebayimg.com/thumbs/images/g/0VoAAOSwYuhg9d~9/s-l225.jpg,Bracelet
Sonia Rykiel SR GOLD METAL BRACELET - GOLD,$45.00 ,https://www.ebay.com/itm/334080441562?hash=item4dc8befcda:g:cbIAAOSwQdhgef7g,https://i.ebayimg.com/thumbs/images/g/cbIAAOSwQdhgef7g/s-l225.jpg,Bracelet
"Mookaite Black Onyx Handmade Gemstone Ethnic Gift Bracelet 7-8"" H711",$2.99 ,https://www.ebay.com/itm/184954161330?hash=item2b102088b2:g:qtMAAOSwk~9g9np5,https://i.ebayimg.com/thumbs/images/g/qtMAAOSwk~9g9np5/s-l225.jpg,Bracelet
Crystal Charm Bracelets Gold Bracelet For Womens Ladies Bead Safety Chain UK,$10.60 ,https://www.ebay.com/itm/163874640046?hash=item2627b090ae:g:BLgAAOSwu~ldh2q0,https://i.ebayimg.com/thumbs/images/g/BLgAAOSwu~ldh2q0/s-l225.jpg,Bracelet
Natural Yellow Tigers Eye Gemstone Round Beads Women Men Bracelet 14mm AAAAA,$48.51 ,https://www.ebay.com/itm/363465758325?hash=item54a03f5675:g:3VkAAOSw671dPk2S,https://i.ebayimg.com/thumbs/images/g/3VkAAOSw671dPk2S/s-l225.jpg,Bracelet
2PCS Fashion 925Sterling Solid Silver Jewelry Rope Chain Bracelet For Women H207,$6.99 ,https://www.ebay.com/itm/362434065015?hash=item5462c0f277:g:kyUAAOSw8JZbjQ2i,https://i.ebayimg.com/thumbs/images/g/kyUAAOSw8JZbjQ2i/s-l225.jpg,Bracelet
White Howlite Gemstone Bead Bracelet Healing Chakra Reiki Handmade Beaded Bangle,$4.49 ,https://www.ebay.com/itm/393415550827?hash=item5b9964e76b:g:h7oAAOSwao9g2YMa,https://i.ebayimg.com/thumbs/images/g/h7oAAOSwao9g2YMa/s-l225.jpg,Bracelet
New Listingbracelet,$27.90 ,https://www.ebay.com/itm/124819857123?hash=item1d0fd7dee3:g:vW4AAOSw9eZg-GAK,https://i.ebayimg.com/thumbs/images/g/vW4AAOSw9eZg-GAK/s-l225.jpg,Bracelet
Sand Dollar Bangle Bracelet,$14.99 ,https://www.ebay.com/itm/144116670801?hash=item218e05e151:g:ihwAAOSwq4Fg8teD,https://i.ebayimg.com/thumbs/images/g/ihwAAOSwq4Fg8teD/s-l225.jpg,Bracelet
Mimco shield bracelet comes with dust bag.,$7.32 ,https://www.ebay.com/itm/124816701494?hash=item1d0fa7b836:g:YSMAAOSw-b9g9SK4,https://i.ebayimg.com/thumbs/images/g/YSMAAOSw-b9g9SK4/s-l225.jpg,Bracelet
New Listingbracelet,$29.81 ,https://www.ebay.com/itm/124819843666?hash=item1d0fd7aa52:g:rpoAAOSwEylg-Fxi,https://i.ebayimg.com/thumbs/images/g/rpoAAOSwEylg-Fxi/s-l225.jpg,Bracelet
New Listingbracelet,$29.81 ,https://www.ebay.com/itm/124819848795?hash=item1d0fd7be5b:g:el8AAOSww-9g-F3N,https://i.ebayimg.com/thumbs/images/g/el8AAOSww-9g-F3N/s-l225.jpg,Bracelet
Louis Vuitton Nanogram Bangle Bracelet,$585.40 ,https://www.ebay.com/itm/114899031985?hash=item1ac08417b1:g:FE8AAOSwg8Jg7shL,https://i.ebayimg.com/thumbs/images/g/FE8AAOSwg8Jg7shL/s-l225.jpg,Bracelet
Glistening pretty Silver tone chunky chain bracelet with blue charms,$1.97 ,https://www.ebay.com/itm/402976484400?hash=item5dd3452c30:g:jjYAAOSwJ8Jg5Nt3,https://i.ebayimg.com/thumbs/images/g/jjYAAOSwJ8Jg5Nt3/s-l225.jpg,Bracelet
Wonderful ClE C.Banquise Paris Retro unusual Silver Brutalist Cuff Bracelet?,$102.09 ,https://www.ebay.com/itm/124818247950?hash=item1d0fbf510e:g:c94AAOSwlZNg9s9U,https://i.ebayimg.com/thumbs/images/g/c94AAOSwlZNg9s9U/s-l225.jpg,Bracelet
