id,title,item_url,image_url,price,category
1,Auguste The Label Size 14 dress,https://www.ebay.com/itm/203560682713?_trkparms=ispr%3D1&hash=item2f652984d9:g:ESQAAOSwKoFhF3Eo&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSjVt3vLKCbov98Z19qhuwY5kSr5u1QbAcON1LmV0QMN6hmql7iaUbTtirzEDOFlYNca8ojvCLr%252FZAfqvcTLllaULPaMblC0HFj6XeevwGKDbuOlpQunwtpun0ndKR%252F%252FM61DmeOCOoCLF494tfAe37Bnv2mXGOW3F%252BKAd%252Bh6%252Bn%252FOOcEyl6tj0BxDCc4dD%252BkkoBbLjTRphXvyi6wCH0kCXq%252FvtCHKKlnwYU%252Fzfm99A7yi9CFOnwrb%252BFwcBQsJG8PGuI9xFDZ4BZAl0mL2CRTOnW7jSgDmSePtxRwGsU6udh%252BfF2YcBZxvtSQz8oc1xPGLY1ITplme0cGyriAm2aTfSwTvmd0KyJWSWMnZKQ8vQ15bVfQZ7F6Z%252FWDk3hehs8Hj0RZKPzVlacX6AHtuP9a4fni7HV6%252FsCDDXgEDSOitFtekUYA8bNlRDWBI1Vp%252FgBV2ArGD90CRgNE7NawbYyUZ6wnmqMee43VKNyUKwGJT44z4TGNboBz27tu22bH1IIbaAohcSAwOkPbR9q%252BDK5uuiu1J3ktxNDdq27cz%252BVstcM0RQfDPGsvIJk6EBpakwo7qc%252BQN6zLj8GTIuQ6I1Voi5QWI7sPfPMbj9PZ5SE31c2HjBBYpv7aChODipSdQWZB4NWc7Ig%252F%252FcVI8SeLwRXWwuKQHoU1aohWzoIqEMtYT7sFiB6QqpYj9H3omOu4oQqYugdi45yg3JX5ac1X0LWSJeeTIrgHPMfrW1ZurSgxzFKckt2IaizDe6c6zxI80dJJHASqMyYoWg3dHypWtoNtie6%252BKf3Rv3cNdeEiEXXHTCKcyBAl7MJLz1E5byV%252BPyxVGmK%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/ESQAAOSwKoFhF3Eo/s-l225.jpg,$36.88,dress
2,Patchouli Fair Dress Size 10/12,https://www.ebay.com/itm/255082307721?hash=item3b64172089:g:FgcAAOSwWs5hDsWK,https://i.ebayimg.com/thumbs/images/g/FgcAAOSwWs5hDsWK/s-l225.jpg,$1.37,dress
3,ADRIANNA PAPELL Womens Pink Crew Neck Sheath Party Dress Size: 12,https://www.ebay.com/itm/165016621139?hash=item266bc1d053:g:u~wAAOSw5p9hFo50,https://i.ebayimg.com/thumbs/images/g/u~wAAOSw5p9hFo50/s-l225.jpg,$122.99,dress
4,Ladies Papaya Weekend Black Sleeveless Pencil Smart Work Dress Size 10,https://www.ebay.com/itm/304097781434?hash=item46cda3e6ba:g:S5sAAOSwR8hhCv6d,https://i.ebayimg.com/thumbs/images/g/S5sAAOSwR8hhCv6d/s-l225.jpg,$13.85,dress
5,ladies dresses size 12 new,https://www.ebay.com/itm/165015995856?hash=item266bb845d0:g:gsUAAOSwVUxhFhFh,https://i.ebayimg.com/thumbs/images/g/gsUAAOSwVUxhFhFh/s-l225.jpg,$6.65,dress
6,Asos design green mini dress puff sleeves jaquard Size 16,https://www.ebay.com/itm/274903392668?hash=item400184e19c:g:eigAAOSwNV1hFhAl,https://i.ebayimg.com/thumbs/images/g/eigAAOSwNV1hFhAl/s-l225.jpg,$13.85,dress
7,white stuff dress size 12,https://www.ebay.com/itm/124842724971?hash=item1d1134ce6b:g:KGIAAOSw2DJhDobv,https://i.ebayimg.com/thumbs/images/g/KGIAAOSw2DJhDobv/s-l225.jpg,$13.84,dress
8,Zara Black & White Cotton Printed Midi Loose-Fit Dress BNWT Size S,https://www.ebay.com/itm/124852683750?hash=item1d11ccc3e6:g:pmcAAOSwAVthAX8i,https://i.ebayimg.com/thumbs/images/g/pmcAAOSwAVthAX8i/s-l225.jpg,$58.19,dress
9,Kate Sylvester Dress S,https://www.ebay.com/itm/284409433140?hash=item42381f8c34:g:iDIAAOSwa8ZhF1y~,https://i.ebayimg.com/thumbs/images/g/iDIAAOSwa8ZhF1y~/s-l225.jpg,$3.69,dress
10,Forever New Dress Size 12 M Long Maxi Floral Flower Cocktail Wedding Party,https://www.ebay.com/itm/224571547808?_trkparms=ispr%3D1&hash=item344981e0a0:g:MwUAAOSwJG5hFw8W&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSvtkx670Z0mbyfWqmxLFLYVivRK%252BqTsQmftsfuhn53o4pMNR%252FXgnF2VdRW%252FQAwZAbpcKyfS4MVWMiLZ%252BnTIE8KzNKQA5em%252B2AUzIHOTx%252F2tbTOaoV6cg7hwXGMnmFHd8VEzMmoFyw6XyM%252BZWqne8noNM5m1EMWYGIwUC8XklM8IzwwzBOJsa72DFKS5AKfnqIu3NsSVszN3WMJkGp%252Bt5lFYqr89ai8muPF1qfq8eOlX4OizQJovcUpCeT3swhAC9M5oaeGzLsOmr2xnKwQYpmeELzRExaiArDpSVAGocpfHIdlDuAh9daiR2p9FB%252FLwEUutwBlwEZ2bBpoVt3NdfXWQmID%252Fw9iLWT4rCXUSGH32G4l4kPN%252BbTUPQ3NVIGBF4goUI9eolbCygcfFlpQoiPmDgINdHT2gMBx5a4CShuZrrZcwZNKFt8WZlNcn1ZgD5XYsqdC5L8iPY03G2c8YnrRMbHTAlDVFLvywKVlOkLZ5tRiy9lWjK7a4rsD7E8r3rZxWbw41sAmDGC9nlvVGmjeCCyExn9Xf6tBo1El9X1J%252FnI2M1hE%252BlRea6lmcN5Kwtj8l0Fxwqt5fSvvp6XOpwuXaqUv0O%252BHI4tt3m4vXI5BLtPL66poS9zrU73e9nwH5WXb9DoE8gHiqg77fOGvuHEW77kv375SZ2Hn86O0XWw%252FvGhXFEURvVbArQVoC6dkeKI1N6MCJJSja32r5PO%252B8Q9H%252BHAnBC1Z%252F0XHebNifBt0lm%252FaVVaeqG8Mp9Rl%252F4dy5QYDgrbNq91%252FcaM2DC0U16vklIiuiYgfw%252Bfc0vNqqKt%252FvxE%252BPRKqd4JqvCz3fLo5FzJ%7Campid%3APL_CLK%7Cclp%3A2334524,https://i.ebayimg.com/thumbs/images/g/MwUAAOSwJG5hFw8W/s-l225.jpg,$21.39,dress
